Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","344","China, Hong Kong SAR","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","7496.12","X","Figure from international organizations"
"FBS","Food Balances (2010-)","446","China, Macao SAR","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","663.65","X","Figure from international organizations"
"FBS","Food Balances (2010-)","156","China, mainland","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","1421864.03","X","Figure from international organizations"
"FBS","Food Balances (2010-)","158","China, Taiwan Province of","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","23777.74","X","Figure from international organizations"
"FBS","Food Balances (2010-)","408","Democratic People's Republic of Korea","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","25755.44","X","Figure from international organizations"
"FBS","Food Balances (2010-)","208","Denmark","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","5795.88","X","Figure from international organizations"
"FBS","Food Balances (2010-)","233","Estonia","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","1327.04","X","Figure from international organizations"
"FBS","Food Balances (2010-)","246","Finland","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","5521.54","X","Figure from international organizations"
"FBS","Food Balances (2010-)","352","Iceland","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","360.77","X","Figure from international organizations"
"FBS","Food Balances (2010-)","372","Ireland","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","4896.02","X","Figure from international organizations"
"FBS","Food Balances (2010-)","392","Japan","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","125791.68","X","Figure from international organizations"
"FBS","Food Balances (2010-)","428","Latvia","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","1916.56","X","Figure from international organizations"
"FBS","Food Balances (2010-)","440","Lithuania","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","2849.08","X","Figure from international organizations"
"FBS","Food Balances (2010-)","496","Mongolia","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","3232.43","X","Figure from international organizations"
"FBS","Food Balances (2010-)","578","Norway","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","5348.28","X","Figure from international organizations"
"FBS","Food Balances (2010-)","410","Republic of Korea","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","51803.83","X","Figure from international organizations"
"FBS","Food Balances (2010-)","752","Sweden","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","10267.92","X","Figure from international organizations"
"FBS","Food Balances (2010-)","826","United Kingdom of Great Britain and Northern Ireland","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","66778.66","X","Figure from international organizations"
