Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","040","Austria","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","8879.94","X","Figure from international organizations"
"FBS","Food Balances (2010-)","056","Belgium","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","11510.57","X","Figure from international organizations"
"FBS","Food Balances (2010-)","344","China, Hong Kong SAR","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","7496.12","X","Figure from international organizations"
"FBS","Food Balances (2010-)","446","China, Macao SAR","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","663.65","X","Figure from international organizations"
"FBS","Food Balances (2010-)","156","China, mainland","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","1421864.03","X","Figure from international organizations"
"FBS","Food Balances (2010-)","158","China, Taiwan Province of","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","23777.74","X","Figure from international organizations"
"FBS","Food Balances (2010-)","408","Democratic People's Republic of Korea","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","25755.44","X","Figure from international organizations"
"FBS","Food Balances (2010-)","250","France","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","64399.76","X","Figure from international organizations"
"FBS","Food Balances (2010-)","276","Germany","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","83148.14","X","Figure from international organizations"
"FBS","Food Balances (2010-)","392","Japan","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","125791.68","X","Figure from international organizations"
"FBS","Food Balances (2010-)","442","Luxembourg","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","619.97","X","Figure from international organizations"
"FBS","Food Balances (2010-)","496","Mongolia","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","3232.43","X","Figure from international organizations"
"FBS","Food Balances (2010-)","528","Netherlands (Kingdom of the)","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","17363.26","X","Figure from international organizations"
"FBS","Food Balances (2010-)","410","Republic of Korea","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","51803.83","X","Figure from international organizations"
"FBS","Food Balances (2010-)","756","Switzerland","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","8575.59","X","Figure from international organizations"
